id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
1,0.121478,tcp,http,FIN,6,4,258,172,74.08749,252,254,14158.94238,8495.365234,0,0,24.2956,8.375,30.177547,11.830604,255,621772692,2209589696,255,0,0,0,43,43,0,0,1,0,1,1,1,1,0,0,0,1,1,0,Normal,0
2,0.649902,tcp,http,FIN,14,38,734,42014,78.473372,62,252,8395.112305,503571.3125,2,17,49.915,16.641026,61.457656,1387.77833,255,1417884146,3077385011,255,0,0,0,52,1106,0,0,43,1,1,1,1,2,0,0,0,1,6,0,Normal,0
3,1.623129,tcp,http,FIN,8,16,364,13186,14.170161,62,252,1572.271851,60924.30078,1,6,231.875571,102.737203,17179.58686,11420.92623,255,2116150707,2963114973,255,0.111897,0.061458,0.050439,46,824,0,0,7,1,2,1,1,3,0,0,0,2,6,0,Normal,0
4,1.681642,tcp,ftp,FIN,12,12,628,770,13.677108,62,252,2740.178955,3294.39917,1,3,152.876547,90.235726,259.080172,4991.784669,255,1107119177,1047442890,255,0.000000,0.000000,0.000000,52,64,0,0,1,1,2,1,1,3,1,1,0,2,1,0,Normal,0
5,0.449454,tcp,http,FIN,10,6,568,320,33.373826,254,252,8428.00293,4734.633789,2,1,49.939333,44.974,61.229156,66.368536,255,2367503723,230894086,255,0.156064,0.082987,0.073077,57,53,0,0,1,1,2,1,1,2,0,0,0,2,1,0,Normal,0
6,0.380537,tcp,http,FIN,10,6,568,320,39.41798,254,252,9954.354492,5592.124023,2,1,42.281889,38.0366,49.263884,55.932822,255,2298910471,10156994,255,0.158525,0.089736,0.068789,57,53,0,0,1,1,2,1,1,2,0,0,0,2,1,0,Normal,0
7,0.000009,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,33,2,16,16,16,33,0,0,0,16,33,0,Generic,1
8,0.000009,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,33,2,16,16,16,33,0,0,0,16,33,0,Generic,1
9,0.000009,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,33,2,16,16,16,33,0,0,0,16,33,0,Generic,1
10,1.097825,tcp,http,FIN,10,8,970,354,15.485165,62,252,6369.047852,2258.99585,2,2,121.980555,134.195,7854.789178,162.247242,255,3474966601,237583768,255,0.116540,0.059483,0.057057,97,44,0,0,1,1,1,1,1,2,0,0,0,1,1,0,Exploits,1
11,0.92394,tcp,http,FIN,10,8,2140,354,18.399464,62,252,16676.35352,2684.157471,2,2,102.66,110.63,6078.681635,39.351268,255,183577717,1447230588,255,0.301550,0.076394,0.225156,214,44,0,0,1,1,3,1,1,2,0,0,0,1,1,0,Exploits,1
12,0.916174,tcp,ftp,FIN,10,6,540,268,16.372435,254,252,3929.384766,1949.411133,2,1,101.797109,79.5226,6921.144089,178.508544,255,4171068831,4182962386,255,0.147771,0.082710,0.065061,54,45,0,0,1,1,1,1,1,2,0,0,0,1,1,0,Exploits,1
13,0.000007,udp,dns,INT,2,0,114,0,142857.1409,254,0,65142856,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,57,0,0,0,17,2,8,8,8,17,0,0,0,8,17,0,Generic,1
14,0.000003,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,57,0,0,0,17,2,8,8,8,17,0,0,0,8,17,0,Generic,1
15,0.000009,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,33,2,16,16,16,33,0,0,0,16,33,0,Generic,1
16,1.4057,tcp,http,FIN,10,8,2230,354,12.093619,62,252,11426.33691,1764.245605,2,2,156.188891,146.995,14828.69176,145.24157,255,75232971,1751336067,255,0.224164,0.117144,0.107020,223,44,0,0,1,1,2,1,1,2,0,0,0,1,1,0,Exploits,1
17,0.000009,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,33,2,16,16,16,33,0,0,0,16,33,0,Generic,1
